Aspect,Aspect Index,Key Activity,Key Activity Index,Best Practice,Best Practice Label,Description,,,,,,,,,,,,
Continuous Exploration,1,Hypothesize,1,Lean startup thinking,CDP-Lean-startup-thinking,"Defining Minimum Marketable Feature (MMFs) and/or Minimum Viable Products (MVPs) helps evaluate hypotheses quickly before making too much investment. Both MMFs and MVPs represent the smallest thing that can be built to evaluate whether the hypothesis is valid.

© Scaled Agile, Inc.
Include this copyright notice with the copied content.

Read the FAQs on how to use SAFe content and trademarks here:
https://www.scaledagile.com/about/about-us/permissions-faq/
Explore Training at:
https://www.scaledagile.com/training/calendar/",,,,,,,,,,,,
Continuous Exploration,1,Hypothesize,1,Innovation Accounting,CDP-Innovation-Accounting,"Evaluating hypotheses requires different metrics than those used to measure end-state working solutions. Innovation Accounting focuses on how to measure the intermediate and predictive business outcomes of a hypothesis both during initial incremental solution development and evaluation of the MVP.

© Scaled Agile, Inc.
Include this copyright notice with the copied content.

Read the FAQs on how to use SAFe content and trademarks here:
https://www.scaledagile.com/about/about-us/permissions-faq/
Explore Training at:
https://www.scaledagile.com/training/calendar/",,,,,,,,,,,,
Continuous Exploration,1,Collaborate and research,2,Collaboration and Research Around Customer Needs,CDP-Collaboration-and-Research-Around-Customer-Needs,"To create a compelling and differentiated vision, Product Management facilitates a continuous and collaborative process, soliciting input from a diverse group of stakeholders

© Scaled Agile, Inc.
Include this copyright notice with the copied content.

Read the FAQs on how to use SAFe content and trademarks here:
https://www.scaledagile.com/about/about-us/permissions-faq/
Explore Training at:
https://www.scaledagile.com/training/calendar/",,,,,,,,,,,,
Continuous Exploration,1,Collaborate and research,2,Primary market research,CDP-Primary-market-research,"Product Management develops additional insights through primary market research, including surveys, focus groups, questionnaires, and competitive analysis for customer understanding.

© Scaled Agile, Inc.
Include this copyright notice with the copied content.

Read the FAQs on how to use SAFe content and trademarks here:
https://www.scaledagile.com/about/about-us/permissions-faq/
Explore Training at:
https://www.scaledagile.com/training/calendar/",,,,,,,,,,,,
Continuous Exploration,1,Collaborate and research,2,Gemba walks,CDP-Gemba-walks,"An experiential form of primary market research, a Gemba walk (‘Gemba’ is the place where the work is performed [2]) is a process in which the product team observes how stakeholders execute the steps and specific activities in their operational value streams to better identify opportunities for relentless improvement.

© Scaled Agile, Inc.
Include this copyright notice with the copied content.

Read the FAQs on how to use SAFe content and trademarks here:
https://www.scaledagile.com/about/about-us/permissions-faq/
Explore Training at:
https://www.scaledagile.com/training/calendar/",,,,,,,,,,,,
Continuous Exploration,1,Collaborate and research,2,Customer Visits,CDP-Customer-Visits,"There’s no substitute for first-person observation of the daily activities of the people doing the work. Whether structured or informal, Product Managers and Product Owners are responsible for understanding how people use systems in actual work environments. They can’t do that at their desk, so there is no substitute for “getting outside the building” and observing users in their specific Solution Context.

© Scaled Agile, Inc.
Include this copyright notice with the copied content.

Read the FAQs on how to use SAFe content and trademarks here:
https://www.scaledagile.com/about/about-us/permissions-faq/
Explore Training at:
https://www.scaledagile.com/training/calendar/",,,,,,,,,,,,
Continuous Exploration,1,Collaborate and research,2,Secondary market research,CDP-Secondary-market-research,"To broaden their thinking, Product Management uses various secondary market research techniques to develop a comprehensive understanding of the customers and markets they’re serving. Staying abreast of market/industry trends is a critical outcome of secondary market research.

© Scaled Agile, Inc.
Include this copyright notice with the copied content.

Read the FAQs on how to use SAFe content and trademarks here:
https://www.scaledagile.com/about/about-us/permissions-faq/
Explore Training at:
https://www.scaledagile.com/training/calendar/",,,,,,,,,,,,
Continuous Exploration,1,Collaborate and research,2,Lean UX thinking,CDP-Lean-UX-thinking,"Lean UX is a collaborative process of working with stakeholders to define Minimum Marketable Features (MMFs) and validate them quickly with customers.

© Scaled Agile, Inc.
Include this copyright notice with the copied content.

Read the FAQs on how to use SAFe content and trademarks here:
https://www.scaledagile.com/about/about-us/permissions-faq/
Explore Training at:
https://www.scaledagile.com/training/calendar/",,,,,,,,,,,,
Continuous Exploration,1,Collaborate and research,2,Understanding the problem space,CDP-Understanding-the-problem-space,"Conducting research enables the organization to further refine its processes and create artifacts that clearly express its emerging understanding of the problem space

© Scaled Agile, Inc.
Include this copyright notice with the copied content.

Read the FAQs on how to use SAFe content and trademarks here:
https://www.scaledagile.com/about/about-us/permissions-faq/
Explore Training at:
https://www.scaledagile.com/training/calendar/",,,,,,,,,,,,
Continuous Exploration,1,Collaborate and research,2,Developing personas to focus design,CDP-Developing-personas-to-focus-design,"Informed by research, Personas help the organization understand the target customer.

© Scaled Agile, Inc.
Include this copyright notice with the copied content.

Read the FAQs on how to use SAFe content and trademarks here:
https://www.scaledagile.com/about/about-us/permissions-faq/
Explore Training at:
https://www.scaledagile.com/training/calendar/",,,,,,,,,,,,
Continuous Exploration,1,Collaborate and research,2,Building empathy for the user,CDP-Building-empathy-for-the-user,"Empathy maps ensure that the team is considering the full needs of the user and how these needs may be evolving through successive releases.

© Scaled Agile, Inc.
Include this copyright notice with the copied content.

Read the FAQs on how to use SAFe content and trademarks here:
https://www.scaledagile.com/about/about-us/permissions-faq/
Explore Training at:
https://www.scaledagile.com/training/calendar/",,,,,,,,,,,,
