employer,role,dates,bullet_index,text,suggested_tags
BPM Software Solutions,Principle Consultant,2017 – 2021,0,"Developed secure SFTP services, ETL pipelines, and SQL-driven automation to enable seamless integrations with Paylocity and third-party systems. Engineered Voice of Customer (VOC) AI application to analyze sentiment from customer interviews, while deploying AWS CloudWatch dashboards for performance monitoring. Created automated financial workflows using Azure Functions, SQL, and Selenium RPA to synchronize eligibility and payroll data with Paylocity. Integrated LLM technology to automate data access layer generation, enhance code validation, and optimize UI/UX orchestration. Built e-commerce solutions (React, NodeJS, AWS EC2/NoSQL) with Stripe and PayPal integrations, including admin portals for inventory and content management.",SQL;AWS;CloudWatch;Azure Functions
BPM Software Solutions,Principle Consultant,2017 – 2021,1,"ClaimChoice Hub: Architected and delivered cloud-native TPA integration platform that migrated workflows from .NET to Java, streamlined eligibility, payroll, and claims processing, and reduced manual overhead to support client scalability.",Java;AI;Cloud;TPA
BPM Software Solutions,Principle Consultant,2017 – 2021,2,"Tiding Health (Healthcare SaaS Platform): Devised and executed high-traffic member portals, admin consoles, and claims integration hub serving more than 3M users.",AI;Integration;Claims;Healthcare
BPM Software Solutions,Principle Consultant,2017 – 2021,3,"RenderX (AI-Driven Orchestration Platform): Established self-documenting, JSON-based plugin architecture powered by proprietary MusicalConductor event orchestration engine.",AI;Architecture;Orchestration;Plugin
BPM Software Solutions,Principle Consultant,2017 – 2021,4,"AI & Automation Leadership: Deployed AI-powered RPA bots for healthcare and real estate clients, incorporating LLMs for intelligent decision-making (e.g., ARV analysis, property workflows).",AI;RPA;LLM;Healthcare
BPM Software Solutions,Principle Consultant,2017 – 2021,5,"Safe Fleet (Cloud Architecture & Enterprise Integrations): Architected unified BI platform on Microsoft Azure, integrating multiple ERP systems and enabling consolidated reporting that supported $60M acquisition.",Azure;Architecture;Cloud;Integration
BPM Software Solutions,Principle Consultant,2017 – 2021,6,"Developed RenderX Plugins Demo to demonstrate platform extensibility, attracting open-source contributors and positioning RenderX as innovation leader.",Plugin;BI;Demo;Innovation
BPM Software Solutions,Principle Consultant,2017 – 2021,7,"Improved delivery speed and reliability by leading Agile team of six and implementing TDD and CI/CD pipelines with Jenkins, Docker, and Kubernetes.",Jenkins;Docker;Kubernetes;BI
BPM Software Solutions,Principle Consultant,2017 – 2021,8,"Elevated automation pipelines, merging cloud architecture with AI by fine-tuning custom LLMs and AI agents.",AI;LLM;Architecture;Cloud
BPM Software Solutions,Principle Consultant,2017 – 2021,9,"Designed and executed network monitoring application to oversee IT compliance across hundreds of servers in multi-datacenter environments, spanning on-premises, Microsoft Azure, and AWS. Collaborated with cross-functional teams, including developers, business analysts, and infrastructure specialists, to ensure high-quality solution delivery.",AWS;Azure;Compliance
BPM Software Solutions,Principle Consultant,2017 – 2021,10,"Amplified month-end closing productivity by 300% through creation of web-based application integrating CRM, LMS, and ERP systems.",ERP
BPM Software Solutions,Principle Consultant,2017 – 2021,11,"Deployed wealth management platform, consolidating IRA, mutual fund, and investment data into Salesforce, significantly streamlining client reporting, enhancing financial tracking, and empowering advisors with accurate portfolio insights.",Reporting;CAN
BPM Software Solutions,Principle Consultant,2017 – 2021,12,"Directed multiple development teams in redesigning and deploying scrap yard information management system across 25 US locations, enhancing operational efficiency and standardization. Partnered with executives and stakeholders to evaluate emerging technologies, balancing innovation with risk, cost, and scalability.",BI;Innovation
BPM Software Solutions,Principle Consultant,2017 – 2021,13,"Upgraded eight ERP subsystems using MVVM design pattern, successfully unifying five locations under single application and streamlining business processes.",ERP
BPM Software Solutions,Principle Consultant,2017 – 2021,14,"Redeveloped server room and transitioned corporate infrastructure to hybrid cloud on AWS EC2, reducing IT costs by $250K annually by partnering with network team and external IT vendors.",AWS;Cloud;EC2;AWS EC2
BPM Software Solutions,Principle Consultant,2017 – 2021,15,"Created web-based product mapping tool to automate integration of acquired companies, accelerating onboarding and expansion in landscape supplies industry. Defined ITIL practices, enterprise change management processes, and application support strategies aligned with company growth objectives in coordination with CIO and CFO. Led and mentored team of offshore developers to support and sustain ERP business layers in C# for more than three years.",AI;Integration;ERP
BPM Software Solutions,Principle Consultant,2017 – 2021,16,"Built and maintained full-stack functionality for proprietary ERP system supporting order entry, invoicing, shipping, product maintenance, inventory, and accounting across 400+ stores in the US and Canada.",AI;ERP;CAN
BPM Software Solutions,Principle Consultant,2017 – 2021,17,"Devised and implemented Wells Fargo Level III–certified credit card processing microservices, securely handling $1M+ in daily settlements and generating $500K in annual cost savings.",AI;Microservices
BPM Software Solutions,Principle Consultant,2017 – 2021,18,"Served as Lead Architect, overseeing ERP migration to Microsoft Dynamics AX 2012 R2, delivering new enterprise solutions for procurement, marketing, and accounting modules.",ERP;Microsoft Dynamics AX
BPM Software Solutions,Principle Consultant,2017 – 2021,19,"Spearheaded transformation of Online Access platform, implementing microservices and micro-frontend architecture to modernize client-facing systems.",Architecture;Microservices
BPM Software Solutions,Principle Consultant,2017 – 2021,20,Bolstered team capabilities as well as strengthened built-in quality by introducing cross-training workshops for Web/API and Mobile automation testing.,AI;Automation;BI
BPM Software Solutions,Principle Consultant,2017 – 2021,21,"Provided leadership coaching for engineering managers and trained RTEs, scrum masters, and managers on Jira dashboard development for improved visibility.",AI;BI;Leadership
BPM Software Solutions,Principle Consultant,2017 – 2021,22,"Reengineered release train processes, cutting delivery timelines by 50% and enabling 13 teams to deploy independently with higher quality.",AI
BPM Software Solutions,Principle Consultant,2017 – 2021,23,"Restructured platform team into specialized sub-teams, minimizing delivery complexity and accelerating timelines.",SFTP;ETL;Paylocity;AI
BPM Software Solutions,Principle Consultant,2017 – 2021,24,"Spearheaded cloud-first modernization initiatives across finance, healthcare, and analytics clients, transitioning legacy systems to Azure and AWS.",AWS;Azure;Cloud;Healthcare
BPM Software Solutions,Principle Consultant,2017 – 2021,25,"Implemented Jenkins + Kubernetes-driven CI/CD pipelines that matured into trunk-based delivery for ETL, BI, and automation workloads.",Jenkins;Kubernetes;ETL;Automation
BPM Software Solutions,Principle Consultant,2017 – 2021,26,"Established CI/CD governance playbooks and reusable pipeline modules, embedding security, observability, and rollback automation.",Automation;BI;CI/CD;Rollback Automation
BPM Software Solutions,Principle Consultant,2017 – 2021,27,"Mentored engineers on short-lived branch strategies, feature toggles, and continuous merge practices, improving delivery reliability by 40 %.",BI
BPM Software Solutions,Principle Consultant,2017 – 2021,28,Architected unified BI platform on Azure integrating multiple ERP systems; automation raised enterprise valuation by $60 M in 18 months.,Azure;AI;Automation;BI
BPM Software Solutions,Principle Consultant,2017 â€“ 2021,0,"Designed and implemented distributed financial reporting and automation systems using Python, AWS, and SQL, integrating multiple ERP data sources into unified dashboards.",SQL;AWS;Automation;ERP
BPM Software Solutions,Principle Consultant,2017 â€“ 2021,1,"Built ETL pipelines and automated reporting systems on AWS using CloudWatch, Lambda, and EC2, providing real-time business intelligence and error tracking.",AWS;CloudWatch;ETL;Cloud
BPM Software Solutions,Principle Consultant,2017 â€“ 2021,2,"Developed microservices-based APIs to support financial origination and servicing platforms, leveraging Flask and SQLAlchemy ORM for modular, scalable code.",SQL;Flask;SQLAlchemy;Microservices
BPM Software Solutions,Principle Consultant,2017 â€“ 2021,3,"Implemented CI/CD pipelines with Jenkins and Docker, ensuring seamless deployments and rollback automation.",Jenkins;Docker;Automation;CI/CD
BPM Software Solutions,Principle Consultant,2017 â€“ 2021,4,"Engineered event-driven integrations between payroll, claims, and payment systems, supporting high-volume transaction processing.",AI;Integration;Claims;Event-driven
BPM Software Solutions,Principle Consultant,2017 â€“ 2021,5,"Developed encryption and security workflows for financial data using AES-256 and Keeper Security Manager, ensuring data protection and regulatory compliance.",Encryption;Security;AES-256;Keeper Security Manager
BPM Software Solutions,Principle Consultant,2017 â€“ 2021,6,"Mentored junior developers and established development standards for code reviews, unit testing, and feature decomposition.",Development Standards;Code Reviews;Unit Testing;Feature Decomposition
BPM Software Solutions,Principle Consultant,2017 â€“ 2021,7,"Developed Python-based backend integrations for wealth management systems consolidating IRA, mutual fund, and investment data into Salesforce.",Integration;Python;Integrations
BPM Software Solutions,Principle Consultant,2017 â€“ 2021,8,"Built automated month-end reporting pipelines using AWS Lambda, S3, and SQL to streamline financial operations.",SQL;AWS;Lambda;Reporting
BPM Software Solutions,Principle Consultant,2017 â€“ 2021,9,"Created network monitoring tools for IT compliance using Python and AWS, spanning multi-datacenter environments.",AWS;Python;Compliance
BPM Software Solutions,Principle Consultant,2017 â€“ 2021,10,"Designed web-based applications integrating CRM, LMS, and ERP systems, increasing month-end closing productivity by 300%.",ERP
BPM Software Solutions,Principle Consultant,2017 â€“ 2021,11,Collaborated with cross-functional teams to improve deployment speed and observability through CI/CD and containerization best practices.,AI;BI;CI/CD;CI/CD
BPM Software Solutions,Principle Consultant,2017 â€“ 2021,12,"Directed multi-site rollout of Python- and .NET-based information systems across 25 US locations, improving operational efficiency.",.NET;Python
BPM Software Solutions,Principle Consultant,2017 â€“ 2021,13,"Designed hybrid AWS cloud infrastructure, reducing annual IT costs by  through automation and EC2 migration.",AWS;Cloud;Automation;EC2
BPM Software Solutions,Principle Consultant,2017 â€“ 2021,14,"Modernized ERP subsystems using MVVM and microservices, integrating financial and inventory data across regions.",ERP;Microservices
BPM Software Solutions,Principle Consultant,2017 â€“ 2021,15,"Led DevOps transition with Docker, enabling continuous delivery pipelines for internal business applications.",Docker;DevOps
BPM Software Solutions,Principle Consultant,2017 â€“ 2021,16,Partnered with stakeholders to balance modernization initiatives with business goals and cost constraints.,AI
BPM Software Solutions,Principle Consultant,2017 â€“ 2021,17,Architected and maintained enterprise-scale ERP system supporting 400+ retail locations in the US and Canada.,AI;Scale;ERP;CAN
BPM Software Solutions,Principle Consultant,2017 â€“ 2021,18,"Developed Python- and C#-based financial microservices for Wells Fargo Level IIIcertified credit card processing, handling + daily transactions.",AI;Python;Microservices
BPM Software Solutions,Principle Consultant,2017 â€“ 2021,19,"Migrated legacy ERP to Microsoft Dynamics AX 2012, integrating procurement, accounting, and marketing modules.",ERP;Microsoft Dynamics AX
BPM Software Solutions,Principle Consultant,2017 â€“ 2021,20,Implemented CI/CD automation pipelines and test-driven development (TDD) to improve delivery reliability.,Automation;BI;TDD;CI/CD
BPM Software Solutions,Principle Consultant,2017 â€“ 2021,21,"Managed and mentored offshore teams, establishing coding and DevOps best practices across development groups.",DevOps
BPM Software Solutions,Principle Consultant,2017 â€“ 2021,22,"Led modernization of Edward Jones’ Online Access platform by implementing Python- and AWS-based microservices with a micro-frontend architecture, improving scalability and delivery speed.",AWS;Architecture;BI;Python
BPM Software Solutions,Principle Consultant,2017 â€“ 2021,23,"Developed and optimized Python-based CI/CD pipelines with Jenkins, GitHub Actions, and Docker, automating build, test, and deployment workflows across multiple environments.",Jenkins;Docker;CI/CD;Python
BPM Software Solutions,Principle Consultant,2017 â€“ 2021,24,"Designed event-driven financial reporting and servicing pipelines, integrating data from MySQL, DynamoDB, and AWS S3 while ensuring end-to-end data integrity and compliance.",SQL;AWS;Financial Reporting;Reporting
BPM Software Solutions,Principle Consultant,2017 â€“ 2021,25,"Engineered monitoring and alerting solutions using AWS CloudWatch and custom Python scripts, improving fault detection and system reliability by 40%.",AWS;CloudWatch;Cloud;BI
BPM Software Solutions,Principle Consultant,2017 â€“ 2021,26,"Championed Agile engineering practices, mentoring junior developers on code reviews, test automation, and story decomposition to enhance delivery predictability.",Automation;BI;Agile;Mentoring
BPM Software Solutions,Principle Consultant,2017 â€“ 2021,27,"Partnered with data science and business teams to deploy AI-driven forecasting and LLM-powered automation prototypes, establishing groundwork for predictive analytics in financial workflows.",AI;LLM;Automation
BPM Software Solutions,Principle Consultant,2017 â€“ 2021,28,"Implemented DevSecOps best practices, integrating security scanning and compliance checks directly into CI/CD pipelines.",CI/CD;Security;Compliance;CAN
BPM Software Solutions,Principle Consultant,2017 â€“ 2021,29,"Introduced containerized local development environments with Docker and AWS EC2, streamlining onboarding and cross-team collaboration.",AWS;Docker;AI;EC2
BPM Software Solutions,Principle Consultant,2017 â€“ 2021,30,"Key Technologies: Python, Flask, SQLAlchemy, AWS (Lambda, S3, EC2, CloudWatch), MySQL, DynamoDB, Docker, Jenkins, GitHub Actions, Terraform, Agile/Scrum",SQL;AWS;CloudWatch;Jenkins
BPM Software Solutions,Principle Consultant,Aug 2017 - Nov 2021,0,Architected Python and C++ modules for automation pipelines integrating with hardware-triggered sensors and real-time data streams.,Automation;Python;C++;Real-time Data
